N,Freq,ampl,sensorN,impactN
1,0.15847511720555543,3.1550553431552963e-06,1,2
2,1.5847511720555543,1.7469754813321988e-06,1,2
3,10.934783087183325,4.113815134037955e-06,1,2
4,18.858538947461096,2.3489517696297073e-06,1,2
5,27.099245042149978,1.0234321889987157e-06,1,2
6,31.21959808949442,8.219471033860764e-06,1,2
7,41.20353047344441,8.603496405612678e-07,1,2
8,46.433209341227744,1.5484871405526844e-05,1,2
8,2.218651640877776,1.1610042995966582e-05,2,2
9,3.644927695727775,3.633623563768457e-06,2,2
10,6.1805295710166614,2.4614801629795367e-06,2,2
11,18.858538947461096,1.4537708815370205e-05,2,2
12,31.21959808949442,1.4175050500412194e-05,2,2
13,44.214557700349964,0.00026604319026458223,2,2
14,46.433209341227744,3.351656710910189e-05,2,2
