F or ch 1,F or ch 2,decr1,decr2,decrS
021-1,021-2,-0.5324711000277816,-0.7765172806166271,-0.7706623707089083
020-1,020-2,-0.25658111535417394,-0.9628876804953419,-0.961287550328278
022-1,022-2,-0.4490735769147717,-0.945752307698549,-0.9349867250757591
023-1,023-2,-0.46235617797550094,-0.4458917225503068,-0.484407533920917
024-1,024-2,-0.42378934394904944,-0.9022420951017252,-0.8842198336611075
025-1,025-2,-0.48068389567254244,-0.59079198845004,-0.6035108839356004
029-1 8kHz-01,029-2 8kHz-02,-0.574950129365837,-0.8518077739572292,-0.8415544691791524
030-1 8kHz-03,030-2 8kHz-04,-0.5797951504422866,-0.8536715027843956,-0.8325499819611054
033-1,033-2,-0.2996978616020416,-0.7584635834953547,-0.7426166031117871
034-1,034-2,-0.6783243384716426,-0.8502626897115882,-0.8585817972008113
026-1,026-2,-0.14233657669185829,-0.7558742985519792,-0.7518516427731873
028-1,028-2,-0.3245614279622605,-0.698115550787771,-0.6664517140885291
035-1,035-2,-0.3553393312058333,-0.8980218257067352,-0.8873437197466213
036-1,036-2,-0.5131120386858796,-0.9434588852135296,-0.9244918436037145
031-1,031-2,-0.2197830068072713,-0.967643549855254,-0.9611294435511765
031-1,031-2,-0.10537905300686634,-0.8859308523709128,-0.8779981190385998
032-1,032-2,-0.6117214555705119,-0.845673015870789,-0.8230049164301443
037-1,037-2,-0.13270228728630998,-0.9192330047657163,-0.9097106803098808
038-1,038-2,-0.6462680264024722,-1.033128483836911,-1.0201670947439947
051-1,051-2,-0.8588427534821826,-1.1196349918782702,-0.9582243890576021
052-1,052-2,-1.5726736912263157,-1.2964778287851342,-1.5281756690374984
053-1,053-2,-0.6395210932287924,-0.9676305124066222,-0.8154515452903424
054-1,055-2,-1.1393061019575168,-0.9822570492393733,-1.1204624239021956
051-1_M,051-2,-0.8061788236871836,-0.999016421879696,-0.8268585135786756
024_chN0,024_chN1,-1.1185175094616735,-1.4136767049452432,-1.408228181724477
025_chN0,025_chN1,-1.124488605788063,-1.50721522697692,-1.493189876250314
0002_chN0,0002_chN1,-0.4371668613146078,-0.8887806815848328,-0.890292437775782
0005_chN0,0005_chN1,-0.1946003522792634,-1.0236671056044035,-0.9988074339450598
022_chN0,022_chN1,-1.148834012408109,-1.3780579022868047,-1.3688850368543568
023_chN0,023_chN1,-1.2481998000324281,-1.576589435196091,-1.5761252141658284
020_chN0,020_chN1,-1.161911881110844,-1.352380883949927,-1.3431788708316033
021_chN0,021_chN1,-2.5244444745983223,-1.7447181302535777,-1.7484022277243583
026_chN0,026_chN1,-0.5322727515723809,-1.9206514890777364,-1.887057829292815
027_chN0,027_chN1,-0.6698321349421543,-1.5488352143797735,-1.5041123614846963
39_2ТЭ30451_chN0,39_2ТЭ30451_chN1,-0.12227643214877502,-0.9962102289503981,-0.986882385196054
40_2ТЭ30451_chN0,40_2ТЭ30451_chN1,-0.4717877735240487,-1.1458487428385236,-1.1402932929221188
41_2ТЭ33451_chN0,41_2ТЭ33451_chN1,-0.6966886279909041,-1.1284828987141604,-1.0776706025011271
42_2ТЭ33451_chN0,42_2ТЭ33451_chN1,-0.41817187821313,-0.8722016964657086,-0.8477937795091416
43_1ТЭ17441_chN0,43_1ТЭ17441_chN1,-0.6110040872488216,-0.9270629305431417,-0.905687545443867
44_1ТЭ17441_chN0,44_1ТЭ17441_chN1,-0.7800366843275934,-1.0335346073029452,-1.0316360131632245
45_1ТЭ18441_chN0,45_1ТЭ18441_chN1,-0.6338800961133231,-0.8678186856517897,-0.8134689275642429
46_1ТЭ18441_chN0,46_1ТЭ18441_chN1,-0.46397144617800656,-0.5898277590681574,-0.6020176189291201
46_1ТЭ18441_chN0,46_1ТЭ18441_chN1,-0.46397144617800656,-0.5898277590681574,-0.6020176189291201
46_1ТЭ18441_chN0,46_1ТЭ18441_chN1,-0.7709749627960489,-0.9766892876474819,-0.9834343000090497
46_1ТЭ18441_chN0,46_1ТЭ18441_chN1,-0.5068048190507586,-0.6942766232635139,-0.6803340431896704
46_1ТЭ18441_chN0,46_1ТЭ18441_chN1,-0.5068048190507586,-0.6942766232635139,-0.6803340431896704
46_1ТЭ18441_chN0,46_1ТЭ18441_chN1,-0.5068048190507586,-0.6942766232635139,-0.6803340431896704
47_1ТЭ20441_chN0,47_1ТЭ20441_chN1,-0.34258336191681504,-1.0897305088017157,-1.0823228672928271
48_1ТЭ20441_chN0,48_1ТЭ20441_chN1,-0.6619167649132697,-0.786928037169801,-0.8010695182863863
49_2ТЭ32451_chN0,49_2ТЭ32451_chN1,-0.5733831661663954,-0.9905124987659473,-0.980884084132471
50_2ТЭ32451_chN0,50_2ТЭ32451_chN1,-0.8141721489863177,-0.8664403100248983,-0.8797447001457964
50_2ТЭ32451_chN0,50_2ТЭ32451_chN1,-0.7718001583144148,-0.8273313168522749,-0.8316407124028506
049-1,049-2,-0.25083675812587697,-0.8358462697479844,-0.8088905883208548
049-1,049-2,-0.26937623113611026,-0.9323663442004777,-0.9036766616183671
050-1,050-2,-0.6156361464128133,-0.8728537236069697,-0.8567796313665702
050-1,050-2,-0.6156361464128133,-0.8728537236069697,-0.8567796313665702
050-1,050-2,-0.6028607173933208,-0.8615194761346078,-0.8451611997352843
045-1,045-2_M,-0.9770665844718859,-1.0477711851895894,-1.0262050219178536
041-1,041-2,0.1463273379818783,0.7146590343743623,0.7137973905486512
041-1,041-2,0.13859490551713943,0.8153358009307663,0.8032096485987399
042-1,042-2,0.5125447673929548,0.8089169298231427,0.8053193174002705
0035_chN0,0035_chN1,0.2713019516536985,0.9926173797581047,0.9896646422776114
0036_chN0,0036_chN1,0.2713244796579331,1.2773825809156907,1.2698453489355612
0037_chN0,0037_chN1,0.3146311111247131,0.9467490401945243,0.9369482997443973
0037_chN0,0037_chN1,0.3146311111247131,0.9467490401945243,0.9369482997443973
0038_chN0,0038_chN1,0.30070476017106146,1.0274244120292568,1.0220046100910514
0038-03.12.25-МС0042511-1_chN0,0038-03.12.25-МС0042511-1_chN1,0.32181680514514843,1.1947852478148633,1.1646011296673076
0038-03.12.25-МС0042511-1_chN0,0038-03.12.25-МС0042511-1_chN1,0.32181680514514843,1.1947852478148633,1.1646011296673076
0039-03.12.25-МС0042511-2_chN0,0039-03.12.25-МС0042511-2_chN1,0.3316083465049701,0.4827185066121768,0.4858358886306211
0040-03.12.25-МС0032510-1_chN0,0040-03.12.25-МС0032510-1_chN1,0.16264202067619468,0.8864787044874866,0.8733603044909504
0041-03.12.25-МС0032510-2_chN0,0041-03.12.25-МС0032510-2_chN1,0.45044803242312637,0.328006223579975,0.4360823059775298
0042-03.12.25-МС0022510-1_chN0,0042-03.12.25-МС0022510-1_chN1,0.26253211344740696,1.1492800442064672,1.1163958235107747
0043-03.12.25-МС0022510-2_chN0,0043-03.12.25-МС0022510-2_chN1,0.3940342602923944,0.2639891051993119,0.3955404757380151
